# BLOCK:     DISTANCE:    ACTUAL_GOFR:    GOFR_AVE:    ERROR:
           6    0.628416           0           0           0
           6    0.654066           0           0           0
           6    0.679715           0           0           0
           6    0.705365           0           0           0
           6    0.731015           0           0           0
           6    0.756664           0           0           0
           6    0.782314           0           0           0
           6    0.807964           0           0           0
           6    0.833613           0           0           0
           6    0.859263           0 3.24205e-06 2.95957e-06
           6    0.884913  0.00115549  0.00119522 6.34494e-05
           6    0.910562   0.0238875   0.0243928 0.000276297
           6    0.936212    0.166124    0.164078 0.000823928
           6    0.961861    0.564252    0.561344    0.002061
           6    0.987511     1.20913      1.1984  0.00257295
           6     1.01316     1.84438     1.85901   0.0064163
           6     1.03881     2.33066     2.32958  0.00438169
           6     1.06446     2.55808     2.55142  0.00302776
           6     1.09011     2.55006     2.54291  0.00221421
           6     1.11576     2.41488     2.40329  0.00385756
           6     1.14141     2.19823      2.2018  0.00309147
           6     1.16706     1.97033     1.97366  0.00316206
           6     1.19271     1.75483     1.76104  0.00385623
           6     1.21836     1.55625     1.56541  0.00437634
           6     1.24401     1.38658     1.39542  0.00277795
           6     1.26966     1.23484     1.24628  0.00436014
           6     1.29531     1.12238     1.12458  0.00374441
           6     1.32096     1.02294     1.02748  0.00237742
           6     1.34661    0.942969    0.944435  0.00192753
           6     1.37226    0.870896     0.87375  0.00154311
           6     1.39791     0.81965    0.817876 0.000845061
           6     1.42355    0.779203    0.777509  0.00208929
           6      1.4492    0.736929     0.73874  0.00203548
           6     1.47485    0.715786    0.712387  0.00164333
           6      1.5005    0.695441    0.691404  0.00242617
           6     1.52615    0.679748    0.678135  0.00203279
           6      1.5518    0.674677    0.672212  0.00199619
           6     1.57745    0.668234    0.670375  0.00209449
           6      1.6031    0.672189    0.675835   0.0017522
           6     1.62875    0.688559    0.686302 0.000948402
           6      1.6544    0.704145    0.701504  0.00295388
           6     1.68005    0.726805    0.721981  0.00229489
           6      1.7057    0.755254    0.749359  0.00191661
           6     1.73135    0.777752    0.777593  0.00138077
           6       1.757    0.814927    0.812382  0.00159485
           6     1.78265    0.855035    0.849102  0.00181095
           6      1.8083    0.895981    0.892117  0.00207119
           6     1.83395    0.934455     0.93361  0.00172836
