# BLOCK:     DISTANCE:    ACTUAL_GOFR:    GOFR_AVE:    ERROR:
           5     1.78265    0.849308    0.848681  0.00515767
           5      1.8083    0.895832    0.884164    0.005818
           5     1.83395    0.941937    0.931317  0.00458337
           5      1.8596    0.988527    0.977738  0.00667511
           5     1.88525     1.04907     1.02165   0.0063392
           5      1.9109      1.0785      1.0618  0.00465477
           5     1.93655        1.11      1.0976  0.00405134
           5      1.9622     1.12422     1.12706   0.0024869
           5     1.98785     1.17379     1.16334  0.00495903
           5      2.0135     1.18681     1.19356  0.00354604
           5     2.03915     1.19389     1.21252  0.00693213
           5      2.0648     1.22108     1.22891  0.00573259
           5     2.09045     1.22766     1.21947  0.00818982
           5      2.1161     1.21028     1.20731  0.00412297
           5     2.14174     1.20102     1.19315  0.00338135
           5     2.16739     1.18736     1.17142  0.00412161
           5     2.19304     1.15541      1.1468  0.00292486
           5     2.21869     1.12577     1.11926  0.00462201
           5     2.24434     1.06815      1.0819  0.00522106
           5     2.26999     1.04317     1.06141  0.00454783
           5     2.29564      1.0156     1.03184  0.00638356
           5     2.32129     1.00168     1.00185   0.0048669
           5     2.34694     0.96534    0.979582  0.00365054
           5     2.37259    0.950878    0.959742  0.00260035
           5     2.39824    0.927785    0.933695  0.00230436
           5     2.42389    0.917729    0.923873   0.0027884
           5     2.44954    0.911654    0.912998   0.0033411
           5     2.47519    0.894743    0.899805  0.00404258
           5     2.50084    0.904809    0.901081  0.00344013
           5     2.52649    0.901056    0.891475  0.00431681
           5     2.55214    0.898119    0.893645  0.00372938

           6   0.0128248           0           0           0
           6   0.0384745           0           0           0
           6   0.0641241           0           0           0
           6   0.0897737           0           0           0
           6    0.115423           0           0           0
           6    0.141073           0           0           0
           6    0.166723           0           0           0
           6    0.192372           0           0           0
           6    0.218022           0           0           0
           6    0.243672           0           0           0
           6    0.269321           0           0           0
           6    0.294971           0           0           0
           6     0.32062           0           0           0
           6     0.34627           0           0           0
           6     0.37192           0           0           0
           6    0.397569           0           0           0
           6    0.423219           0           0           0
           6    0.448869           0           0           0
           6    0.474518           0           0           0
           6    0.500168           0           0           0
           6    0.525818           0           0           0
           6    0.551467           0           0           0
           6    0.577117           0           0           0
           6    0.602767           0           0           0
           6    0.628416           0           0           0
           6    0.654066           0           0           0
           6    0.679715           0           0           0
           6    0.705365           0           0           0
           6    0.731015           0           0           0
           6    0.756664           0           0           0
           6    0.782314           0           0           0
           6    0.807964           0           0           0
           6    0.833613           0           0           0
           6    0.859263 0.000194523 4.21466e-05 2.91484e-05
           6    0.884913  0.00177908  0.00126553  0.00017756
           6    0.910562   0.0228655   0.0257497  0.00131837
           6    0.936212    0.163633    0.176939  0.00376386
           6    0.961861    0.585101    0.585644  0.00398707
           6    0.987511     1.24274     1.22272   0.0057472
           6     1.01316     1.89212     1.88412  0.00903418
           6     1.03881      2.3285      2.3524    0.014517
           6     1.06446     2.52909     2.55389   0.0126152
